generated,reference,distance,changes,features_comment,features_documented,address
taxməm,taxməm,0,,,,"[{'id': 'Y6.15a', 'index': 7}]"
dāmōiš,dāmōiš,0,,,,"[{'id': 'Y6.15a', 'index': 8}, {'id': 'Y6.15a', 'index': 9}]"
upamanəm,upamanəm,0,,,,"[{'id': 'Y6.15a', 'index': 10}]"
yazatəm,yazatəm,0,,,,"[{'id': 'Y6.15a', 'index': 11}]"
imā̊,imā̊,0,,,,"[{'id': 'Y6.15a', 'index': 12}]"
apasca,apasca,0,,,,"[{'id': 'Y6.16a', 'index': 0}]"
zəmasca,zəmasca,0,,,,"[{'id': 'Y6.16a', 'index': 1}]"
uruuarā̊sca,uruuarā̊sca,0,,,,"[{'id': 'Y6.16a', 'index': 2}]"
imā̊,imā̊,0,,,,"[{'id': 'Y6.16a', 'index': 3}]"
asāscašōiϑrā̊sca,asā̊scašōiϑrā̊sca,1,ā to ā̊,,False,"[{'id': 'Y6.16a', 'index': 4}]"
gaōiiaōitīšca,gaōiiaōitīšca,0,,,,"[{'id': 'Y6.16a', 'index': 5}, {'id': 'Y6.16a', 'index': 6}]"
maēϑaniiāsca,maēϑańiiā̊sca,2,"n to ń, ā to ā̊",,False,"[{'id': 'Y6.16a', 'index': 7}]"
auuōxᵛarənā̊sca,auuōxᵛarənā̊sca,0,,,,"[{'id': 'Y6.16a', 'index': 8}, {'id': 'Y6.16a', 'index': 9}]"
iməmca,iməmca,0,,,,"[{'id': 'Y6.16a', 'index': 10}]"
šōiϑrahe,šōiϑrahe,0,,,,"[{'id': 'Y6.16a', 'index': 11}]"
paitīm,paitīm,0,,,,"[{'id': 'Y6.16a', 'index': 12}]"
yim,yim,0,,,,"[{'id': 'Y6.16a', 'index': 13}]"
ahurəm,ahurəm,0,,,,"[{'id': 'Y6.16a', 'index': 14}]"
mazdąm,mazdąm,0,,,,"[{'id': 'Y6.16a', 'index': 15}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y6.16a', 'index': 16}, {'id': 'Y6.17a', 'index': 0}, {'id': 'Y6.17a', 'index': 1}]"
vīspe,vīspe,0,,,,"[{'id': 'Y6.17a', 'index': 2}]"
mazišta,mazišta,0,,,,"[{'id': 'Y6.17a', 'index': 3}]"
aiiara,aiiara,0,,,,"[{'id': 'Y6.17a', 'index': 4}]"
asniia,asńiia,0,n to ń,,False,"[{'id': 'Y6.17a', 'index': 4.5}]"
māhiia,māhiia,0,,,,"[{'id': 'Y6.17a', 'index': 5}]"
yāiriia,yāiriia,0,,,,"[{'id': 'Y6.17a', 'index': 6}]"
sarəδa,sarəδa,0,,,,"[{'id': 'Y6.17a', 'index': 7}]"
hauruuata,hauruuata,0,,,,"[{'id': 'Y6.17a', 'index': 8}, {'id': 'Y6.18a', 'index': 0}]"
amərətāta,amərətāta,0,,,,"[{'id': 'Y6.18a', 'index': 1}]"
gāuš,gāuš,0,,,,"[{'id': 'Y6.18a', 'index': 2}, {'id': 'Y6.18b', 'index': 0}]"
hudā̊,hudā̊,0,,,,"[{'id': 'Y6.18b', 'index': 1}]"
sraōšəm,sraōšəm,0,,,,"[{'id': 'Y6.18b', 'index': 2}, {'id': 'Y6.18c', 'index': 0}]"
aṣ̌īm,aṣ̌īm,0,,,,"[{'id': 'Y6.18c', 'index': 1}]"
huraōδəm,huraōδəm,0,,,,"[{'id': 'Y6.18c', 'index': 2}, {'id': 'Y6.18c', 'index': 3}]"
vərəϑrājanəm,vərəϑrājanəm,0,,,,"[{'id': 'Y6.18c', 'index': 4}]"
frādat̰gaēϑəm,frādat̰gaēϑəm,0,,,,"[{'id': 'Y6.18c', 'index': 5}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y6.18c', 'index': 6}, {'id': 'Y6.18c', 'index': 7}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y6.18c', 'index': 8}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y6.18c', 'index': 9}]"
haōməmca,haōməmca,0,,,,"[{'id': 'Y6.18c', 'index': 10}, {'id': 'Y6.18c', 'index': 11}, {'id': 'Y6.19a', 'index': 0}]"
parahaōməmca,parahaōməmca,0,,,,"[{'id': 'Y6.19a', 'index': 1}]"
zaraϑuštrah,zaraϑuštrahe,0,e deleted,,False,"[{'id': 'Y6.19a', 'index': 1.5}]"
spəṇtāmahe,spitāmahe,2,"ə to i, ṇ inserted","ṇ inserted in place of ą or before consonants, esp. Iranian tradition.",True,"[{'id': 'Y6.19a', 'index': 2}]"
iδa,iδa,0,,,,"[{'id': 'Y6.19a', 'index': 3}]"
aṣ̌aōnō,aṣ̌aōnō,0,,,,"[{'id': 'Y6.19a', 'index': 3.5}]"
aṣ̌əmca,aṣ̌əmca,0,,,,"[{'id': 'Y6.19a', 'index': 4}]"
frauuaṣ̌īmca,frauuaṣ̌īmca,0,,,,"[{'id': 'Y6.19a', 'index': 5}]"
aēsmąsca,aēsmąsca,0,,,,"[{'id': 'Y6.19a', 'index': 6}, {'id': 'Y6.19b', 'index': 0}]"
baōiδīmca,baōiδīmca,0,,,,"[{'id': 'Y6.19b', 'index': 1}]"
ϑβąm,ϑβąm,0,,,,"[{'id': 'Y6.19b', 'index': 2}, {'id': 'Y6.19b', 'index': 3}]"
ātrəm,ātrəm,0,,,,"[{'id': 'Y6.19b', 'index': 4}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y6.19b', 'index': 5}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y6.19b', 'index': 6}]"
puϑrəm,puϑrəm,0,,,,"[{'id': 'Y6.19b', 'index': 7}, {'id': 'Y6.19b', 'index': 8}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y6.19b', 'index': 9}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y6.19b', 'index': 10}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y6.19b', 'index': 11}]"
aṣ̌aōnąm,aṣ̌aōnąm,0,,,,"[{'id': 'Y6.19b', 'index': 12}, {'id': 'Y6.20a', 'index': 0}]"
vaŋhīš,vaŋᵛhīš,1,ŋ to ŋᵛ,,False,"[{'id': 'Y6.20a', 'index': 1}]"
sīrā̊,sūrā̊,1,ī to ū,,False,"[{'id': 'Y6.20a', 'index': 2}]"
spəṇtā̊,spəṇtā̊,0,,,,"[{'id': 'Y6.20a', 'index': 3}]"
frauuašaiiō,frauuašaiiō,0,,,,"[{'id': 'Y6.20a', 'index': 4}]"
vīspe,vīspe,0,,,,"[{'id': 'Y6.20a', 'index': 5}, {'id': 'Y6.21a', 'index': 0}]"
aṣ̌auuanō,aṣ̌auuanō,0,,,,"[{'id': 'Y6.21a', 'index': 1}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y6.21a', 'index': 2}]"
aṣ̌auuanō,aṣ̌auuanō,0,,,,"[{'id': 'Y6.21a', 'index': 3}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,,,,"[{'id': 'Y6.21a', 'index': 4}]"
yazata,yazata,0,,,,"[{'id': 'Y6.21a', 'index': 5}]"
vīspe,vīspe,0,,,,"[{'id': 'Y6.21a', 'index': 6}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y6.21a', 'index': 7}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y6.21a', 'index': 8}, {'id': 'Y6.21a', 'index': 9}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y6.21a', 'index': 10}]"
hāuuanīm,hāuuanīm,0,,,,"[{'id': 'Y6.21a', 'index': 11}, {'id': 'Y6.21b', 'index': 0}]"
pati,paiti,1,a to ai,,False,"[{'id': 'Y6.21b', 'index': 1}]"
paiti,paiti,0,,,,"[{'id': 'Y6.21b', 'index': 2}]"
pati,paiti,1,a to ai,,False,"[{'id': 'Y6.21b', 'index': 3}]"
paiti,paiti,0,,,,"[{'id': 'Y6.21b', 'index': 4}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y6.21b', 'index': 5}]"
sā̊uuaŋhīm,sāuuaŋhaēm,2,"ā̊ to āu, uu to u, ī to aē",,False,"[{'id': 'Y6.21b', 'index': 6}]"
vīsīmca,vīsīmca,0,,,,"[{'id': 'Y6.21b', 'index': 7}]"
paiti,paiti,0,,,,"[{'id': 'Y6.21b', 'index': 8}, {'id': 'Y6.21b', 'index': 9}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y6.21b', 'index': 10}]"
ratauuō,ratauuō,0,,,,"[{'id': 'Y6.21b', 'index': 11}]"
vīspe,vīspe,0,,,,"[{'id': 'Y6.21b', 'index': 12}]"
mazišta,mazišta,0,,,,"[{'id': 'Y6.21b', 'index': 13}]"
paiti,paiti,0,,,,"[{'id': 'Y6.21b', 'index': 14}]"
ratīm,ratūm,1,ī to ū,,False,"[{'id': 'Y6.21b', 'index': 15}]"
yeŋ́hēhātąm,yeŋ́hēhātąm,0,,,,"[{'id': 'Y6.21b', 'index': 16}, {'id': 'Y6.22YeH', 'index': 0}, {'id': 'Y6.22YeH', 'index': 1}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y6.22YeH', 'index': 2}, {'id': 'Y7.0WazGr', 'index': 0}]"
ahī,ahū,0,ī to ū,,False,"[{'id': 'Y7.0WazGr', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y7.0WazGr', 'index': 2}, {'id': 'Y7.0WazGr', 'index': 3}]"
yō,yō,0,,,,"[{'id': 'Y7.0WazGr', 'index': 4}]"
zaōtā,zaōtā,0,,,,"[{'id': 'Y7.0WazGr', 'index': 5}]"
frāmē,frāmē,0,,,,"[{'id': 'Y7.0WazGr', 'index': 6}]"
mrītē,mrūtē,1,ī to ū,,False,"[{'id': 'Y7.0WazGr', 'index': 7}]"
aϑā,aϑā,0,,,,"[{'id': 'Y7.0WazGr', 'index': 8}, {'id': 'Y7.0WazGrF', 'index': 0}]"
ratuš,ratuš,0,,,,"[{'id': 'Y7.0WazGrF', 'index': 1}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y7.0WazGrF', 'index': 2}, {'id': 'Y7.1AV', 'index': 0}]"
vohī,vohū,1,ī to ū,,False,"[{'id': 'Y7.1AV', 'index': 1}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.1AV', 'index': 2}, {'id': 'Y7.1a', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.1a', 'index': 1}]"
xᵛarəϑəm,xᵛarəϑəm,0,,,,"[{'id': 'Y7.1a', 'index': 2}]"
miiazdəm,miiazdəm,0,,,,"[{'id': 'Y7.1a', 'index': 3}]"
hauruuata,hauruuata,0,,,,"[{'id': 'Y7.1a', 'index': 4}]"
amərətātā,amərətātā,0,,,,"[{'id': 'Y7.1a', 'index': 5}]"
gāuš,gāuš,0,,,,"[{'id': 'Y7.1a', 'index': 6}]"
hudā̊,hudā̊,0,,,,"[{'id': 'Y7.1a', 'index': 7}, {'id': 'Y7.1a', 'index': 8}]"
xšnīmaini,xšnūmaine,2,"ī to ū, i to e",,False,"[{'id': 'Y7.1a', 'index': 9}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y7.1a', 'index': 10}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y7.1a', 'index': 11}]"
aməšanąm,aməṣ̌anąm,1,š to ṣ̌,,False,"[{'id': 'Y7.1a', 'index': 12}, {'id': 'Y7.1a', 'index': 13}]"
spəṇtanąm,spəṇtanąm,0,,,,"[{'id': 'Y7.1a', 'index': 14}]"
xšnīmaini,xšnūmaine,2,"ī to ū, i to e",,False,"[{'id': 'Y7.1a', 'index': 15}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y7.1a', 'index': 16}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y7.1a', 'index': 17}]"
aməṣ̌anąm,aməṣ̌anąm,0,,,,"[{'id': 'Y7.1a', 'index': 18}]"
spəṇtanąm,spəṇtanąm,0,,,,"[{'id': 'Y7.1a', 'index': 19}, {'id': 'Y7.1a', 'index': 20}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y7.1a', 'index': 21}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y7.1a', 'index': 22}]"
aməṣ̌anąm,aməṣ̌anąm,0,,,,"[{'id': 'Y7.1a', 'index': 23}]"
spəṇtanąm,spəṇtanąm,0,,,,"[{'id': 'Y7.1a', 'index': 24}]"
sraōšahe,sraōšahe,0,,,,"[{'id': 'Y7.1a', 'index': 25}]"
aṣ̌iiehe,aṣ̌iiehe,0,,,,"[{'id': 'Y7.1a', 'index': 26}]"
aṣ̌auua,aṣ̌auua,0,,,,"[{'id': 'Y7.1a', 'index': 27}]"
vərəϑrājanō,vərəϑrājanō,0,,,,"[{'id': 'Y7.1a', 'index': 29}]"
frādat̰gaēϑahe,frādat̰gaēϑahe,0,,,,"[{'id': 'Y7.1a', 'index': 30}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.1a', 'index': 31}, {'id': 'Y7.3a', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.3a', 'index': 1}]"
haōməmca,haōməmca,0,,,,"[{'id': 'Y7.3a', 'index': 2}]"
parahaōməmca,parahaōməmca,0,,,,"[{'id': 'Y7.3a', 'index': 3}, {'id': 'Y7.3a', 'index': 4}]"
xšnīmaini,xšnūmaine,2,"ī to ū, i to e",,False,"[{'id': 'Y7.3a', 'index': 5}]"
zaraϑuštrahe,zaraϑuštrahe,0,,,,"[{'id': 'Y7.3a', 'index': 6}]"
spəṇtāmahe,spitāmahe,2,"ə to i, ṇ inserted","ṇ inserted in place of ą or before consonants, esp. Iranian tradition.",True,"[{'id': 'Y7.3a', 'index': 6.5}]"
aṣ̌aōnō,aṣ̌aōnō,0,,,,"[{'id': 'Y7.3a', 'index': 7}]"
frauuaṣ̌ə̄e,frauuaṣ̌ə̄e,0,,,,"[{'id': 'Y7.3a', 'index': 8}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.3a', 'index': 9}, {'id': 'Y7.3b', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.3b', 'index': 1}]"
aēsmi,aēsmi,0,,,,"[{'id': 'Y7.3b', 'index': 2}]"
baōiδe,baōiδi,1,e to i,,False,"[{'id': 'Y7.3b', 'index': 3}]"
xšnīmaini,xšnūmaine,2,"ī to ū, i to e",,False,"[{'id': 'Y7.3b', 'index': 5}]"
tauua,tauua,0,,,,"[{'id': 'Y7.3b', 'index': 6}]"
āϑrō,āϑrō,0,,,,"[{'id': 'Y7.3b', 'index': 7}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y7.3b', 'index': 8}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y7.3b', 'index': 9}, {'id': 'Y7.3b', 'index': 10}]"
puϑra,puϑra,0,,,,"[{'id': 'Y7.3b', 'index': 11}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.3b', 'index': 12}, {'id': 'Y7.4a', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.4a', 'index': 1}]"
haōmi,haōmi,0,,,,"[{'id': 'Y7.4a', 'index': 2}]"
xšnīmaini,xšnūmaine,2,"ī to ū, i to e",,False,"[{'id': 'Y7.4a', 'index': 2.5}]"
aiβiiō,aiβiiō,0,,,,"[{'id': 'Y7.4a', 'index': 3}]"
vaŋhaeibiiō,vaŋᵛhībiiō,2,"ŋ to ŋᵛ, a to ī, e inserted, i inserted",,False,"[{'id': 'Y7.4a', 'index': 4}]"
apąm,apąm,0,,,,"[{'id': 'Y7.4a', 'index': 5}, {'id': 'Y7.4a', 'index': 6}]"
vaŋhīnąm,vaŋᵛhīnąm,1,ŋ to ŋᵛ,,False,"[{'id': 'Y7.4a', 'index': 7}]"
mazdaδātanąm,mazdaδātanąm,0,,,,"[{'id': 'Y7.4a', 'index': 8}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.4a', 'index': 9}, {'id': 'Y7.4b', 'index': 0}, {'id': 'Y7.4b', 'index': 1}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.4b', 'index': 2}]"
āpəm,āpəm,0,,,,"[{'id': 'Y7.4b', 'index': 3}]"
haōmiiąm,haōmiiąm,0,,,,"[{'id': 'Y7.4b', 'index': 4}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.4b', 'index': 5}, {'id': 'Y7.4c', 'index': 0}, {'id': 'Y7.4c', 'index': 1}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.4c', 'index': 2}]"
gąm,gąm,0,,,,"[{'id': 'Y7.4c', 'index': 3}]"
jīuuąm,jīuuiiąm,1,ii deleted,,False,"[{'id': 'Y7.4c', 'index': 4}]"
jīuuiiąm,jīuuiiąm,0,,,,"[{'id': 'Y7.4c', 'index': 5}]"
jīuuąm,jīuuiiąm,1,ii deleted,,False,"[{'id': 'Y7.4c', 'index': 6}]"
jīuuiiąm,jīuuiiąm,0,,,,"[{'id': 'Y7.4c', 'index': 7}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.4c', 'index': 8}, {'id': 'Y7.4d', 'index': 0}, {'id': 'Y7.4d', 'index': 1}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.4d', 'index': 2}]"
uruuarąm,uruuarąm,0,,,,"[{'id': 'Y7.4d', 'index': 3}]"
haδānaēpatąm,haδānaēpatąm,0,,,,"[{'id': 'Y7.4d', 'index': 4}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.4d', 'index': 5}]"
uzdātąm,uzdātąm,0,,,,"[{'id': 'Y7.4d', 'index': 6}]"
xšnīmaini,xšnūmaine,2,"ī to ū, i to e",,False,"[{'id': 'Y7.4d', 'index': 7}]"
apąm,apąm,0,,,,"[{'id': 'Y7.4d', 'index': 8}, {'id': 'Y7.4d', 'index': 9}]"
mazdaδātanąm,mazdaδātanąm,0,,,,"[{'id': 'Y7.4d', 'index': 10}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.4d', 'index': 11}, {'id': 'Y7.5a', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.5a', 'index': 1}]"
imat̰,imat̰,0,,,,"[{'id': 'Y7.5a', 'index': 1.5}]"
barəsma,barəsma,0,,,,"[{'id': 'Y7.5a', 'index': 2}]"
haδazaōϑrəm,haδazaōϑrəm,0,,,,"[{'id': 'Y7.5a', 'index': 3}]"
haδaaiβiiā̊ŋhanəm,haδaaiβiiā̊ŋhanəm,0,,,,"[{'id': 'Y7.5a', 'index': 4}, {'id': 'Y7.5a', 'index': 5}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.5a', 'index': 6}]"
frastarətəm,frastarətəm,0,,,,"[{'id': 'Y7.5a', 'index': 7}]"
xšnīmaini,xšnūmaine,2,"ī to ū, i to e",,False,"[{'id': 'Y7.5a', 'index': 8}]"
aməšanąm,aməṣ̌anąm,1,š to ṣ̌,,False,"[{'id': 'Y7.5a', 'index': 9}]"
spəṇtanąm,spəṇtanąm,0,,,,"[{'id': 'Y7.5a', 'index': 10}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.5a', 'index': 11}, {'id': 'Y7.5b', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.5b', 'index': 1}]"
vāca,vāca,0,,,,"[{'id': 'Y7.5b', 'index': 2}]"
humata,humata,0,,,,"[{'id': 'Y7.5b', 'index': 3}]"
hīxta,hūxta,1,ī to ū,,False,"[{'id': 'Y7.5b', 'index': 4}]"
huuarəšta,huuaršta,1,ə inserted,,False,"[{'id': 'Y7.5b', 'index': 5}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.5b', 'index': 6}, {'id': 'Y7.5c', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.5c', 'index': 1}, {'id': 'Y7.5c', 'index': 2}]"
gāϑanąmca,gāϑanąmca,0,,,,"[{'id': 'Y7.5c', 'index': 3}]"
sraōϑrəm,sraōϑrəm,0,,,,"[{'id': 'Y7.5c', 'index': 4}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.5c', 'index': 5}, {'id': 'Y7.5d', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.5d', 'index': 1}]"
huuarəštā̊,huuarštā̊,1,ə inserted,,False,"[{'id': 'Y7.5d', 'index': 2}]"
mąϑrā̊,mąϑrā̊,0,,,,"[{'id': 'Y7.5d', 'index': 3}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.5d', 'index': 4}, {'id': 'Y7.5e', 'index': 0}, {'id': 'Y7.5e', 'index': 1}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.5e', 'index': 2}]"
imąm,imąm,0,,,,"[{'id': 'Y7.5e', 'index': 3}]"
aŋhuiiąmca,aŋhuiiąmca,0,,,,"[{'id': 'Y7.5e', 'index': 4}]"
aṣ̌aiiąmca,aṣ̌aiiąmca,0,,,,"[{'id': 'Y7.5e', 'index': 5}, {'id': 'Y7.5e', 'index': 6}]"
raϑβąmca,raϑβąmca,0,,,,"[{'id': 'Y7.5e', 'index': 7}]"
ratufrətīmca,ratufritīmca,1,ə to i,,False,"[{'id': 'Y7.5e', 'index': 8}]"
xšnīmaini,xšnūmaine,2,"ī to ū, i to e",,False,"[{'id': 'Y7.5e', 'index': 9}]"
yazatanąm,yazatanąm,0,,,,"[{'id': 'Y7.5e', 'index': 10}]"
aṣ̌aōnąm,aṣ̌aōnąm,0,,,,"[{'id': 'Y7.5e', 'index': 11}]"
maińiiauuanąm,maińiiauuanąm,0,,,,"[{'id': 'Y7.5e', 'index': 12}]"
gaiϑiianąm,gaēϑiianąm,1,ai to aē,,False,"[{'id': 'Y7.5e', 'index': 13}]"
xšnīmaini,xšnūmaine,2,"ī to ū, i to e",,False,"[{'id': 'Y7.5e', 'index': 14}, {'id': 'Y7.5e', 'index': 15}]"
hauuaheca,hauuahe,2,"c inserted, a inserted",,False,"[{'id': 'Y7.5e', 'index': 16}]"
urunō,urunō,0,,,,"[{'id': 'Y7.5e', 'index': 17}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.5e', 'index': 18}, {'id': 'Y7.6a', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.6a', 'index': 1}]"
asniiaēibiiō,asńiiaēibiiō,1,n to ń,,False,"[{'id': 'Y7.6a', 'index': 2}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y7.6a', 'index': 3}]"
ratubiiō,ratubiiō,0,,,,"[{'id': 'Y7.6a', 'index': 4}, {'id': 'Y7.6a', 'index': 5}]"
hāuuanə̄e,hāuuanə̄e,0,,,,"[{'id': 'Y7.6a', 'index': 6}]"
aṣ̌aōne,aṣ̌aōne,0,,,,"[{'id': 'Y7.6a', 'index': 7}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y7.6a', 'index': 8}]"
raϑβe,raϑβe,0,,,,"[{'id': 'Y7.6a', 'index': 9}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.6a', 'index': 10}, {'id': 'Y7.6b', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.6b', 'index': 1}]"
sāuuaŋhə̄e,sāuuaŋhə̄e,0,,,,"[{'id': 'Y7.6b', 'index': 2}, {'id': 'Y7.6b', 'index': 3}]"
vīsiiāica,vīsiiāica,0,,,,"[{'id': 'Y7.6b', 'index': 4}]"
aṣ̌aōne,aṣ̌aōne,0,,,,"[{'id': 'Y7.6b', 'index': 5}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y7.6b', 'index': 6}]"
raϑβe,raϑβe,0,,,,"[{'id': 'Y7.6b', 'index': 7}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.6b', 'index': 8}, {'id': 'Y7.6c', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.6c', 'index': 1}]"
miϑrahe,miϑrahe,0,,,,"[{'id': 'Y7.6c', 'index': 2}]"
vaōurugaōiiaōitōiš,vourugaōiiaōtōiš,3,"aō to ou, u inserted, i inserted","u inserted epenthetically, e.g., ŋuh for ŋᵛh.",True,"[{'id': 'Y7.6c', 'index': 3}]"
hazaŋrōgaōšahe,hazaŋhrōgaōšahe,1,h deleted,,False,"[{'id': 'Y7.6c', 'index': 4}, {'id': 'Y7.6c', 'index': 5}]"
baēuuarəcašmanō,baēuuarəcašmanō,0,,,,"[{'id': 'Y7.6c', 'index': 6}]"
aōxtōnāmanō,aōxtōnāmanō,0,,,,"[{'id': 'Y7.6c', 'index': 7}, {'id': 'Y7.6c', 'index': 8}]"
yazatahe,yazatahe,0,,,,"[{'id': 'Y7.6c', 'index': 9}]"
rāmanō,rāmanō,0,,,,"[{'id': 'Y7.6c', 'index': 10}]"
xᵛāstrahe,xᵛāstrahe,0,,,,"[{'id': 'Y7.6c', 'index': 11}, {'id': 'Y7.6c', 'index': 12}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.6c', 'index': 13}, {'id': 'Y7.7a', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.7a', 'index': 1}]"
rapiϑβināi,rapiϑβināi,0,,,,"[{'id': 'Y7.7a', 'index': 2}]"
aṣ̌aōne,aṣ̌aōne,0,,,,"[{'id': 'Y7.7a', 'index': 3}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y7.7a', 'index': 4}]"
raϑβe,raϑβe,0,,,,"[{'id': 'Y7.7a', 'index': 5}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.7a', 'index': 6}, {'id': 'Y7.7b', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.7b', 'index': 1}, {'id': 'Y7.7b', 'index': 2}]"
frādat̰fšuue,frādat̰fšauue,1,"uu to au, u deleted",,False,"[{'id': 'Y7.7b', 'index': 3}]"
zaṇtumāica,zaṇtumāica,2,,,,"[{'id': 'Y7.7b', 'index': 4}]"
aṣ̌aōne,aṣ̌aōne,0,,,,"[{'id': 'Y7.7b', 'index': 5}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y7.7b', 'index': 6}]"
raϑβe,raϑβe,0,,,,"[{'id': 'Y7.7b', 'index': 7}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.7b', 'index': 8}, {'id': 'Y7.7c', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.7c', 'index': 1}]"
aṣ̌ahe,aṣ̌ahe,0,,,,"[{'id': 'Y7.7c', 'index': 2}]"
vahištahe,vahištahe,0,,,,"[{'id': 'Y7.7c', 'index': 3}]"
āϑrasca,āϑrasca,0,,,,"[{'id': 'Y7.7c', 'index': 4}, {'id': 'Y7.7c', 'index': 5}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y7.7c', 'index': 6}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y7.7c', 'index': 7}]"
aṣ̌aiia,aṣ̌aiia,0,,,,"[{'id': 'Y7.7c', 'index': 8}, {'id': 'Y7.8a', 'index': 0}]"
daδąmi,daδąmi,0,,,,"[{'id': 'Y7.8a', 'index': 1}, {'id': 'Y7.8a', 'index': 2}]"
